ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.82,4.585,28.437,13912.064,157.17,1.94,305.199,8.5,9.2,0.4,721368,4802676,150028,772259.2,64.8,0,91.2,17840,11413.2,18857.4,46.2,51.6,1.8,0.2,0,0.29
1.03,4.854,19.763,19753.984,238.041,1.13,398.225,7.48,8.8,0.6,720600,5407888.8,150082.4,763834.4,12.8,0,12.8,19927.2,11462.4,19781.8,47,51.2,1.6,0,0,0.39
1.11,4.552,18.639,9505.792,244.376,1.05,433.614,6.34,8.4,0.2,801233.6,5616726.4,150352,760209.6,7.2,28985.6,72,46739.2,12130.6,18319,48.8,48,2.2,1,0,0.54
0.67,5.182,17.48,1234.944,173.085,1.57,221.351,11.66,7,0.2,720588,6124932.8,150365.6,760271.2,5.6,22.4,44.8,22133.6,12427.4,21355.8,58.2,39.4,2.4,0,0,0.36
0.8,4.251,26.41,42016.768,228.791,1.29,285.649,12.24,9.8,0.4,720588,986076,121287.2,618263.2,5.6,236,5101.4,20511.2,10891.2,19187.2,35,60.2,4.6,0.6,0,0.19
0.85,5.009,24.497,41075.712,235.994,1.14,298.754,12,8.6,0,828846.4,1936468.8,79092.8,392235.2,154.4,0,13910,20432.8,11407.2,19840.6,38.8,57.2,3.6,0.4,0,0.45
0.85,5.017,25.265,36702.208,228.866,1.14,288.549,12.15,8.2,0.2,827924.8,2955446.4,114544.8,404404.8,96,0,1575.8,21348.8,11056.8,19982.2,37,58.2,4.6,0.4,0,0.21
0.84,4.326,23.669,30669.824,210.178,1.45,263.544,11.92,7.8,0.4,826440,2913944,128497.6,419248,28.8,0,2121.8,18001.6,9568.2,17077.2,38.8,57.4,3.6,0.4,0,0.15
0.86,4.946,23.645,33665.024,219.279,1.19,279.686,11.84,9.6,0.8,825979.2,3707152.8,133532,436339.2,18.4,0,252.8,19830.4,10947,19519.2,41.4,54.6,3.4,0.6,0,0.35
0.83,4.821,24.227,32555.008,211.803,1.22,267.494,12.6,7.4,1,825928,4778445.6,136032.8,438557.6,30.4,0,30.4,21224.8,11671.8,20291.4,43.2,52.4,4.4,0.6,0,0.29
0.82,4.772,21.28,38683.648,213.057,1.17,261.806,12.81,7,1,825160,5198128,137000,443259.2,7.2,0,292,19441.6,10814.6,18623.4,40.4,55,4.2,0.4,0,0.27
0.83,4.946,22.486,32561.152,210.274,1.21,264.589,12.4,9.4,0,825160,5269697.6,137493.6,450256,12.8,0,126.6,22353.6,11100.8,19819,41.6,54.2,3.8,0.2,0,0.2
1.08,4.511,23.726,9692.16,185.83,1.31,435.692,6.44,8.2,0.2,825160,4240753.6,137709.6,448270.4,5.6,0,40,18333.6,10433.2,18000.2,48.8,47.6,3,0.6,0,0.33
1.03,5.009,22.061,25841.664,213.29,1.2,415.098,7.4,6.2,0.2,825160,5038816.8,137789.6,456004.8,4.8,0,30.4,21127.2,11790.4,20454.8,48.8,47.8,3.8,0.2,0,0.29
1.16,4.709,25.102,21079.04,256.932,0.99,452.417,6.55,8,0.4,824844,5473932,137860,451396,11.2,0,38.4,19736,10440.6,18617.8,52.4,43.8,3.6,0.2,0,0.73
1.28,5.197,21.551,6640.64,304.678,0.88,557.131,5.44,6.6,0.6,824076,5667477.6,138055.2,469451.2,1357.6,0,5057.8,20434.4,12196.6,21066.4,50.2,45.8,3.6,0.8,0,0.3
1.19,4.594,27.687,13102.08,279.239,0.9,496.247,5.84,6.6,0.2,811496,6074668,138072.8,472766.4,5.6,3328.8,33.6,23111.2,11647.6,19691.8,51.6,44.8,3,0.8,0,0.19
0.64,5.116,22.397,1527.808,174.239,1.57,219.464,11.25,9.2,0.2,808055.2,6503413.6,138098.4,469417.6,10.4,38.4,92,23266.4,11822.2,21163.6,55.2,41.2,3.4,0.2,0,0.31
0.77,4.651,31.695,47425.536,216.074,1.54,269.54,12.46,8.4,1,811845.6,1270007.2,121330.4,417103.2,11.2,2639.2,11671.4,23457.6,11353.8,20151.6,31.2,62.6,5.2,1.2,0,0.18
0.81,4.675,25.253,33719.296,197.534,1.15,253,12.39,9.4,0.2,788742.4,2353044.8,74062.4,394470.4,103.2,0,15063,19560,11472,19799.6,36.6,57.8,4.8,0.8,0,0.23
0.8,3.888,47.127,36465.664,196.981,1.27,249.861,13.14,7,0.2,816680.8,2349092.8,107840.8,408124.8,54.4,22137.6,1512.8,40523.2,9648.6,16088.6,35.8,57.2,5.6,1.2,0,0.29
0.82,5.324,31.776,43961.344,222.475,1.13,277.947,12.9,9.2,0.4,786801.6,4340673.6,123355.2,424844,37.6,0,638,22837.6,11643.4,21073.4,38.2,55.8,5.2,0.8,0,0.35
0.82,5.686,31.813,37800.96,216.913,1.11,275.903,12.44,9.2,0,786660,4558297.6,132861.6,424759.2,9.6,0,80,20985.6,12841.4,22718.6,38.2,56.2,5,0.8,0,0.24
0.8,4.093,42.02,16694.272,202.388,1.34,260.363,11.02,10,0.6,989488.8,3585112.8,135896.8,422988,9.6,87679.2,9.6,103114.4,11544.6,16898,39,55.6,4.2,1.6,0,0.56
0.89,5.236,31.917,37251.072,199.931,1.28,333.242,9.89,8,0.4,785379.2,4674167.2,137000,422869.6,6.4,0,1522.8,19051.2,11404,20625.4,40.2,53.4,5.6,0.8,0,0.42
0.78,4.631,28.476,33826.816,173.276,1.29,213.154,12.89,7.8,0.2,785304.8,5137348,137499.2,431280.8,6.4,0,305.6,17945.6,10643.6,19498.2,40.8,51.2,7.6,0.8,0,0.26
1.09,5.027,24.233,14959.616,188.914,1.25,441.92,6.44,7.4,0,785216.8,4522585.6,137701.6,428596.8,2.4,0,2.4,18824.8,11374.4,20649.6,46.4,45.6,7.2,0.8,0,0.27
0.97,3.903,39.116,12867.584,211.235,1.23,335.754,7.39,7.6,0,1172992.8,4827028.8,137774.4,437328.8,10.4,99750.4,11.2,114198.4,11445,16129.6,40.8,53,4.6,1.8,0,0.31
1.21,5.704,19.904,22566.912,269.43,0.92,513.047,6.07,6.2,0.8,785476,5469212.8,137821.6,441724.8,9.6,0,10.4,20746.4,12587.2,22663.8,44.4,47.4,7.8,1,0,0.36
1.35,5.174,25.412,10152.96,306.482,0.72,619.313,4.51,6.8,0.6,785476,5565056,137842.4,436929.6,102.4,0,687.2,19059.2,11852,20737.8,52.4,42.6,4.8,0.8,0,0.38
1.22,4.78,24.097,12593.152,290.847,0.75,401.389,6.47,7.2,0.2,785476,6095421.6,137876.8,449640,12.8,0,72,17013.6,10968.6,19117.4,49.4,44.6,4.8,1.2,0,0.31
0.58,5.713,24.938,1051.648,167.577,1.48,211.568,11.79,8.6,0.2,785783.2,6523908,137900,452916,9.6,57.6,83.2,22561.6,13287.4,23765.8,56,36.4,7,0.8,0,0.24
0.79,5.687,27.853,45218.816,206.288,1.03,266.434,13,8.6,0.2,785732,3035594.4,137955.2,450612.8,7.2,0,8.8,20599.2,15952.8,22670,30.4,57.8,10.6,1.6,0,0.22
0.8,5.453,31.552,46672.896,206.428,1.02,261.695,13.2,5.6,0.2,785220,4147284.8,137992.8,449762.4,11.2,0,23.2,24954.4,12051.4,22112,32.6,57.2,9.2,1.2,0,0.23
0.85,5.402,26.344,33088.512,214.947,0.98,273.64,12.38,7.2,0.2,785220,3066766.4,138004.8,449634.4,3.2,0,33.6,18892,11223.4,20453.4,34.2,53.2,11.4,1.2,0,0.12
0.84,5.028,30.048,18489.344,186.13,1.08,241.067,11.57,6.4,0,783940,3824212,138020,456472.8,2.4,0,2.4,17954.4,10961.8,19590.2,32.8,56.8,8.8,1.4,0,0.28
0.8,5.3,22.142,49992.704,184.095,1.08,258.026,12.25,5.2,0,783684,4398293.6,138028.8,452436,1.6,0,5.6,19323.2,11213.2,20880.2,34.6,51.8,11.8,1.8,0,0.22
0.9,5.524,21.58,46673.92,202.93,1.06,361.068,9.12,7.8,0.8,783684,4309364,138052,453586.4,4.8,0,4.8,19915.2,11906,21880,36.8,50.6,11.2,1.4,0,0.29
1.06,5.522,26.585,36237.312,181.318,1.18,460.636,6.18,5.8,0.6,774807.2,3841898.4,138257.6,465322.4,7.2,0,17.6,20543.2,12148.6,22494.6,39,47.6,12,1.8,0,0.29
1.06,4.916,41.319,23974.912,155.785,1.43,436.809,5.86,5.2,0.2,797847.2,3810868.8,138271.2,466734.4,0,20945.6,0,39536,12494.8,21469.2,45,42.4,10.8,2.2,0,0.19
1.14,5.827,27.024,32787.456,222.049,0.96,455.13,6.3,7.4,0,774347.2,4844828,138276,469306.4,3.2,0,46.4,20729.6,12626.4,23076,42.4,46,10.4,1.4,0,0.38
0.99,3.94,50.725,16654.336,221.774,1.07,345.476,7.03,6.2,0.4,1324488.8,4718760,138285.6,464863.2,4,128739.2,36.8,142945.6,11306.2,15712.4,33.8,56,7.4,2.8,0,0.26
1.1,3.336,41.313,9469.952,223.803,0.97,367.28,5.81,7.2,0.4,1298686.4,5244187.2,138296,466615.2,2.4,92600,2.4,104716,9662.8,13465.8,36,52.8,8.2,3.2,0,0.45
1.24,4.3,31.77,8690.688,264.93,0.9,488.473,4.94,6,0.2,939135.2,5580980.8,138308,466983.2,1.6,95805.6,9.6,110807.2,11819.6,17178.6,39.2,49.4,9.4,2,0,0.41
1.33,5.084,28.975,18206.72,318.139,0.64,465.976,5.41,6.4,0,774672,6071905.6,138320,473644,4,0,4,19435.2,10722,20131.8,42.4,46.4,10.2,1,0,0.25
0.49,6.02,22.523,1197.056,135.313,1.58,175.361,12.07,3.8,0.8,775053.6,6489074.4,138345.6,476040.8,4,49.6,19.2,21343.2,13938.4,24697.6,53.8,31.8,13.2,1.2,0,0.11
0.78,5.433,20.638,36972.544,210.997,1.14,274.797,11.04,7.2,0.4,784908,2189684.8,69565.6,283163.2,4.8,3340,11722.8,22163.2,13550.2,21034.4,18,70,10.4,2.2,0,0.2
0.73,5.672,25.892,51578.88,170.191,0.94,214.945,14.13,3.6,0.2,790466.4,3964280,94372.8,430156,16.8,0,12496,21774.4,12457.8,23586.6,21.8,57.8,18,2.6,0,0.16
0.68,4.215,17.566,47710.208,145.899,1.02,185.495,13.84,7,0.2,790364,3119456,114390.4,440580,17.6,0,2971.2,12923.2,8874.2,15630.2,20.6,63,13.2,2.8,0,1.05
0.69,4.138,11.467,42543.104,138.641,0.95,178.09,13.17,5.2,0.2,790108,3172503.2,124204,453169.6,4.8,0,139.2,13124,8607,15554,21.4,58.6,17,2.8,0,0.31
0.68,4.849,14.102,45422.592,137.275,1,172.811,14.37,6.2,0.4,790108,4478116.8,129962.4,463525.6,18.4,0,62.4,18688.8,10408.2,20076,21.8,59,16.8,2,0,0.6
0.69,5.44,17.066,45435.904,166.118,1.18,212.243,13.28,4.2,0,788060,4801903.2,132556,484089.6,140.8,0,398.8,19396.8,11417.6,21361.8,24.8,59,15,1.6,0,0.46
1.03,5.821,14.769,39066.624,145.743,1.08,429.769,5.83,3.8,0,782983.2,3966635.2,133832,495080.8,17.6,0,325.6,22178.4,12791.2,24025.6,31.2,48,19,2,0,0.26
0.76,3.392,40.21,19914.752,128.348,1.45,235.128,8.02,6.2,0.4,1019477.6,4005897.6,134308,491701.6,2.4,100613.6,329.6,113200.8,10493.6,14707,19.4,62.6,13.8,4.2,0,0.31
1.16,5.469,15.607,36569.088,195.337,0.76,412.595,5.74,6,0,782656,4749370.4,134507.2,496017.6,13.6,0,75.2,18708.8,11859.6,21634.8,34.8,45.8,17.4,2,0,0.33
1.31,4.085,43.544,1117.184,191.59,0.98,463.408,3.8,5.4,1.6,950429.6,4575633.6,134691.2,489144.8,35.2,78584.8,481.8,93013.6,11401.4,17343.2,32,46.4,17.2,4.6,0,0.21
1.4,4.678,31.58,8845.312,241.823,0.69,560.291,3.64,3.8,1.4,1134644,5151468.8,134833.6,493819.2,8,101130.4,57.6,118348,11341.6,17731,31.4,48,16.6,3.8,0,0.27
1.58,5.752,19.44,4276.224,255.573,0.55,634.651,3.14,4.6,0,782956,5426729.6,134862.4,499103.2,4,0,30.4,19702.4,12235.6,23076.8,45,36.8,15,3.4,0,0.36
1.38,5.767,16.397,29809.664,320.157,0.46,434.79,5.21,3.4,0.4,783008,6143607.2,134892,495531.2,5.6,0,14.4,21030.4,12443.2,23926.8,35.4,43.6,18.4,2.6,0,0.24
0.3,6.986,18.157,1212.416,90.028,1.73,119.673,13.2,5.8,0,783008,6460498.4,134923.2,507668,5.6,63.2,46.4,23696.8,14870.4,27615.8,49,29.8,18.2,2.4,0,0.23
0.68,5.106,31.153,35588.096,183.486,1.35,237.424,11.93,5.4,0.6,805624.8,2888232,55158.4,293307.2,49.6,4844.8,29159.8,24413.6,16219.4,20299.4,12.6,75.8,8.4,3,0,0.6
0.66,5.885,15.24,53261.312,147.883,1.21,190.242,14.58,4.6,0,806780,4077752.8,94351.2,425861.6,16,0,11633.8,18984.8,12432.4,22793.2,18.6,58.8,18.8,4,0,0.47
0.65,5.332,8.869,65011.712,143.917,0.82,182.323,15.47,3.4,0,804730.4,3995305.6,116905.6,443646.4,16,0,1364.8,18473.6,10893.4,21041.8,17.4,56.8,21.8,4.2,0,1.12
0.86,5.733,9.322,32464.896,144.004,0.84,275.419,9.41,3,0.6,804536.8,3111971.2,127304.8,450296,2.4,0,277.6,19692.8,12603.6,23585.6,24.8,49.2,22.2,3.8,0,0.18
0.63,3.509,51.88,14831.616,129.232,1.21,173.372,8.08,4.8,0.8,1206082.4,3750752,131384.8,456065.6,18.4,125548.8,613.6,137306.4,11024.6,14236.6,9.4,61.6,22,7,0,0.27
1.04,6.507,9.409,40898.56,108.542,1.04,463.577,5.03,5.6,0.4,804202.4,3496298.4,133173.6,456261.6,10.4,0,255.2,23822.4,12812.4,26144,29.6,47.2,19.2,3.4,0,0.27
1.05,6.562,12.117,41498.624,121.364,0.95,425.88,5.3,4.8,0,803974.4,4084128,134103.2,460396,7.2,0,12.8,23065.6,13876.2,27007.4,29.8,45.8,20.2,4.4,0,0.33
1.24,5.817,17.319,33855.488,193.315,0.6,449.241,4.96,3.6,0.8,803676.8,4477006.4,134413.6,458740,4,0,12,21445.6,11583.8,23136.6,30.4,46.2,20.6,2.6,0,0.42
1.31,6.032,24.578,36819.968,211.743,0.54,506.794,4.37,4,0.2,803624,4717112,134573.6,470056.8,7.2,0,147.2,24242.4,12032.2,24397.2,31.8,47,19.2,2,0,0.45
1.29,3.757,57.965,12108.8,180.163,0.82,461.679,3.51,2.8,0.4,1025547.2,4663168.8,134627.2,462693.6,12.8,96564,104.8,111700.8,11352.2,16778,23.4,54.8,16.8,5.2,0,0.19
1.6,5.911,21.296,17453.056,273.874,0.4,677.896,2.95,2.6,0.4,803888,5352718.4,134673.6,460972,7.2,0,39.2,22505.6,11918,24027,39,39.8,17.8,3.6,0,0.38
1.36,3.663,43.567,13224.96,206.504,0.63,441.833,3.6,6.6,0,1027087.2,5604790.4,134729.6,462792,2.4,84193.6,18.4,97489.6,9579.8,14638,26,52.8,16.8,4.4,0,0.42
1.35,5.412,25.626,23468.032,283.783,0.47,371.327,4.98,4.6,0.2,849249.6,6177352.8,134748.8,471624,9.6,52428.8,32.8,70952.8,12839.8,22311.6,26,46,23.2,5,0,0.28
0.17,6.737,22.191,1143.808,59.066,1.9,82.975,13.28,4.4,0,803826.4,6512724.8,134767.2,473423.2,4.8,66.4,42,26553.6,12963.2,26867.2,48.8,27.6,21.6,2.2,0,0.14
0.79,4.865,14.977,47206.4,227.656,1.15,281.641,13.16,7.6,0.2,803724,1704400.8,134788,470368.8,6.4,0,29.6,18288,12563.6,21043.2,40.4,57.2,2.4,0.4,0,0.28
0.81,4.948,16.307,37780.48,221.182,1.21,275.443,13.73,10.2,0.2,814636,1756600.8,95762.4,380712.8,13.6,0,7748.8,18263.2,11384.2,19838.6,40.2,56.8,2.6,0.4,0,0.29
0.83,4.846,13.28,27492.352,213.887,1.19,271.563,12.56,9.6,0,814380,3779035.2,120860,386341.6,12.8,0,436.8,17365.6,11378,19120.6,39.2,58.8,1.6,0.2,0,0.2
0.79,4.635,15.898,32057.344,194.466,1.24,243.976,13.32,8.4,0.4,814124,3131576,129822.4,387311.2,3.2,0,54.4,16820,11305.4,19002.8,42.6,55,2,0.4,0,0.29
0.86,5.327,19.147,30875.648,239.34,1.17,303.794,11.93,6.4,0.8,813868,3858739.2,133004,392710.4,6.4,0,76,19905.6,12037.4,21169.2,38.6,57.8,3.2,0.4,0,0.39
0.84,5.417,12.815,30019.584,231.023,1.17,288.581,12.21,7.8,0,813612,4451861.6,134321.6,388618.4,3.2,0,47.2,19244.8,12126.6,21512.8,40.6,56.4,2.6,0.4,0,0.38
0.84,5.404,13.318,29786.112,224.338,1.27,281.816,11.76,7.6,0,813356,5264508,134775.2,394064,11.2,0,64,20170.4,13015.2,22509.8,43.6,54,2.4,0,0,0.14
0.84,4.39,18.519,22591.488,197.235,1.24,247.287,11.51,9.2,0.6,813100,4883472,134932,396082.4,4,0,67.2,15353.6,10608.4,17387.8,41,57.2,2,0.2,0,0.31
0.84,5.265,15.52,28484.608,216.594,1.28,281.966,11.79,8.2,0.2,813100,5667496.8,135015.2,393168,18.4,0,79.2,18639.2,12079.8,20562.6,41,57.2,1.8,0.2,0,0.49
0.98,5.271,14.562,22189.056,216.986,1.29,390.974,8.24,9.2,0.2,812588,5146261.6,135075.2,411826.4,5.6,0,6.4,19688,12833.8,21824.2,45.4,52.4,2.2,0.4,0,0.22
1.03,5.061,17.666,20969.472,218.95,1.16,382.665,7.61,7.6,0.2,812588,5566016.8,135095.2,411320,8,0,44,20513.6,11499.4,20277.2,48.6,48.6,2.4,0.4,0,0.42
1.12,5.484,17.274,12523.52,267.475,1.02,470.066,6.61,8.4,0.6,812588,5782743.2,135118.4,409382.4,4,0,84,21314.4,12957,22746.6,46.2,51.2,2.6,0.2,0,0.2
1.13,4.96,14.301,9835.52,234.799,1.01,437.782,6.16,10.4,0.2,812588,6120756.8,135137.6,409386.4,7.2,0,21.6,17524,12186.2,20336,51.2,46.6,2,0.2,0,0.46
0.65,5.381,15.867,1131.52,181.502,1.51,226.44,12.07,7.8,0.2,812351.2,6582952.8,135153.6,415140.8,15.2,21.6,88.8,20039.2,12645.6,21579.2,57,40.2,2.2,0.4,0,0.18
0.83,4.777,18.817,33635.328,217.703,1.16,274.583,12.79,9.2,0.2,810888,2716339.2,135160,412786.4,609.6,0,645.6,18456.8,10867,19301,40.6,55.2,4,0.2,0,0.34
0.85,5.206,21.722,37010.432,254.95,1.04,322.034,12.61,8.8,0.4,808092,2307199.2,135160,409002.4,1.6,0,20,19860,12542.4,21377.2,36.6,59.2,3.6,0.6,0,0.3
0.83,4.668,23.148,31313.92,211.564,1.19,269.492,12.19,7.4,0.4,808092,2047628,135160,413011.2,1.6,0,12,18419.2,10968.2,19561.8,39.4,57,3.6,0.2,0,0.14
0.73,4.798,19.442,36810.752,198.542,1.38,251.394,13.56,10.6,0,807016.8,2803333.6,135168,452856,771.2,0,3467.2,17009.6,11680.6,19429,36.4,60,3.4,0.2,0,0.49
0.84,5.181,16.061,38096.896,233.906,1.16,291.784,12.58,8,0.2,806556,4389912,135180.8,449126.4,8.8,0,8.8,19325.6,11793.4,20930.4,39,56.6,4,0.4,0,0.25
0.82,4.996,22.242,35927.04,214.026,1.15,270.366,12.13,8,0.4,806556,4624960.8,135184,459640.8,11.2,0,32.8,20268,11526,20803.6,37.2,58.6,4,0.2,0,0.2
0.82,5.051,17.652,36379.648,217.557,1.21,272.888,12.54,6.6,0.2,806300,4932224,135349.6,453053.6,3.2,0,104,17769.6,11650.8,20305.4,42.6,53.6,3.6,0.6,0,0.24
0.83,4.768,22.483,33766.4,212.622,1.21,263.495,12.15,8.6,0,806300,5130096.8,135464,457256,4.8,0,30.4,18994.4,11063.8,19880.4,42.2,52.6,4.4,0.6,0,0.38
0.92,4.961,20.575,28701.696,207.587,1.26,347.152,9.18,8.2,0.2,806300,4983301.6,135468,457252,6.4,0,20.8,18627.2,11628,19989.8,43.8,52.2,3.6,0.4,0,0.35
0.98,4.918,22.97,20876.288,193.908,1.36,404.274,7.37,9.6,0.2,806044,4822136.8,135472,455666.4,17.6,0,98,19624.8,12461.4,21787,50.2,45.4,3.8,0.4,0,0.14
1,3.825,26.716,9762.816,231.272,1.22,358.401,7.2,6.8,0.6,1177559.2,5276936,135611.2,460490.4,36.8,96460,54,110154.4,11329,15722.4,41.6,54,3.4,1,0,0.22
1.03,4.19,24.276,12646.4,225.373,1.15,369.739,7.08,8,0.2,1058011.2,5710904.8,135616.8,458615.2,4,56780,19.2,71026.4,10606.2,16498,45.4,50.8,3.2,1,0,0.54
1.2,5.149,22.884,15802.368,273.326,0.91,496.21,6.06,8.4,0.4,800660,6064651.2,135620,463786.4,0,0,4,18080.8,11334.6,20294.6,54,40.2,5,1,0,0.27
0.61,5.718,20.568,1072.128,180.068,1.5,226.314,11.57,8.6,0,800974.4,6518308,135632.8,460201.6,4.8,38.4,17.6,25645.6,13093.2,23480.8,56.8,38.6,4.2,0.6,0,0.17
0.73,3.903,28.707,44228.608,177.813,1.19,221.051,13.3,8.2,0.4,801360.8,1473682.4,133538.4,454038.4,7.2,888,8,17113.6,9371.6,17176.8,34,60.6,4.8,1,0,0.27
0.78,4.792,14.282,49292.288,200.429,1.19,252.425,13.97,6.4,1,830193.6,2421292.8,53177.6,406107.2,383.2,0,16240.2,16005.6,11691.4,19537.2,33,59.4,6.2,1.4,0,0.41
0.84,4.602,19.026,33255.424,221.392,1.07,283.175,11.55,5.2,0,829528,2647339.2,101366.4,410165.6,86.4,0,435.6,17036.8,10718.8,18954.8,33.8,58.6,6.8,0.8,0,0.31
0.82,5.023,22.317,36609.024,209.918,1.31,265.651,12.34,6.8,0.4,827992,3956752.8,120010.4,420392,29.6,0,1190.4,20325.6,11503.8,20020.2,37.6,54.8,6.6,1.4,0,0.34
0.81,4.632,19.357,37744.64,203.206,1.16,251.01,12.47,7.2,0.4,826712,4310448,128188,464984.8,90.4,0,160.8,16150.4,10468.2,18222,37.2,55.2,6.8,1,0,0.4
0.88,4.888,24.39,25982.976,216.08,1.12,280.7,11.36,6.6,0.4,825944,3804801.6,133046.4,462990.4,48.8,0,580,18029.6,10806.4,19416.6,35.4,57.6,6.2,0.6,0,0.25
0.82,4.71,26.783,30747.648,183.751,1.23,232.12,11.4,7.4,0.2,817595.2,5407990.4,134623.2,464135.2,15.2,0,80,17616,10789.2,19288,39.2,53.2,6.8,1.2,0,0.37
0.83,5.021,26.753,38610.944,188.529,1.31,271.011,11.71,8,1,817141.6,4782458.4,135244.8,472420.8,26.4,0,437.4,18064.8,10584.4,19550.6,40.4,53.2,5.6,1,0,0.57
1.03,5.089,28.233,26910.72,189.999,1.31,429.994,7.08,7,0,816924,4651046.4,135572.8,483239.2,10.4,0,204,19756.8,11756.8,21030.4,44.4,49.2,5.6,1,0,0.19
1.04,5.273,26.973,25269.248,194.965,1.21,396.981,7.07,7.4,0.4,816668,5170928.8,135713.6,478606.4,3.2,0,3.2,19608,11936.4,21563.4,44.6,47.4,7.4,1,0,0.32
1.15,5.178,25.608,21107.712,236.055,0.99,435.655,6.47,8.2,0.2,815914.4,5536572.8,135763.2,477614.4,7.2,0,44.8,19156.8,11195.2,20368.6,45.6,47.2,6.4,1.4,0,0.33
1.27,5.492,20.193,9434.112,279.198,0.8,554.693,4.82,7.6,0,815648.8,5635236,135796,481244,6.4,0,6.4,20087.2,12659.2,22545.8,50.6,41.8,7,1.2,0,0.27
1.19,4.453,29.155,12521.472,277.616,0.91,461.479,5.91,6.8,0.6,892387.2,6081965.6,135826.4,482592,7.2,44735.2,84,59962.4,11277.6,17348.8,45.8,47,5.6,1.6,0,0.19
0.6,6.081,24.315,970.941,161.702,1.6,208.197,12.09,7.6,0,816319.2,6508698.4,135842.4,487923.2,3.2,44.8,18.4,21820,13476.4,25142,55.4,32.2,11.4,1.6,0,0.36
0.79,4.522,30.977,33796.096,220.442,1.49,277.621,11.86,8,0,821529.6,499914.4,79753.6,319656.8,27.2,2034.4,7665.8,19212,11105,19354.2,29.6,60.6,8.4,1.4,0,0.39
0.8,4.753,26.298,41359.36,190.677,1.08,239.961,12.78,7,0.4,825684.8,3560492,77942.4,423916.8,18.4,0,14336,17994.4,10409,19015.4,28,59.2,11,1.8,0,0.33
0.79,4.613,27.62,40187.904,188.47,1.34,239.822,12.07,3.8,0.2,825568.8,4114760,111391.2,444312.8,24,0,1295.6,17172,9800,18223,28.4,60,10.2,1.8,0,0.21
0.81,5.397,22.779,49670.144,215.997,0.98,269.624,12.33,6.2,0.4,825268.8,4545104.8,125398.4,443272,8.8,0,291.4,20255.2,11245.4,21147,35,54.2,9.6,1.6,0,0.3
0.8,5.336,21.464,46051.328,206.261,1.05,259.179,12.3,7.2,0.2,824956,4762153.6,131019.2,447822.4,8.8,0,113.6,18900.8,11879,21438.6,34.2,53.6,10.8,1.6,0,0.36
0.79,5.658,18.571,45173.76,180.305,1.16,254.968,12.16,6.8,0.2,824596,4511340,132946.4,462058.4,15.2,0,350.2,21856.8,12516,22840.4,34.4,53.2,11.2,1.4,0,0.46
